Ngày,Người thực hiện,Nội dung,Số tiền,Hạng mục,Loại
2026-04-18,Chồng,Phân bổ: tiền lương,5500000.0,ESSENTIAL,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: tiền lương,1500000.0,SAVINGS,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: tiền lương,1000000.0,EDUCATION,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: tiền lương,1000000.0,ENJOY,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: tiền lương,1000000.0,INVEST,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: Ăn,1100000.0,ESSENTIAL,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: Ăn,300000.0,SAVINGS,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: Ăn,200000.0,EDUCATION,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: Ăn,200000.0,ENJOY,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: Ăn,200000.0,INVEST,Thu nhập (Chia hũ)
