Ngày,Người thực hiện,Nội dung,Số tiền,Hạng mục,Loại
2026-04-18,Chồng,Phân bổ: Tiền Lương,11000000.0,ESSENTIAL,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,3000000.0,SAVINGS,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,2000000.0,EDUCATION,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,2000000.0,ENJOY,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,2000000.0,INVEST,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: tiền lương ,5500000.0,ESSENTIAL,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: tiền lương ,1500000.0,SAVINGS,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: tiền lương ,1000000.0,EDUCATION,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: tiền lương ,1000000.0,ENJOY,Thu nhập (Chia hũ)
2026-04-18,Vợ,Phân bổ: tiền lương ,1000000.0,INVEST,Thu nhập (Chia hũ)
2026-04-18,Vợ,Tiền ăn,-8000000.0,ESSENTIAL,Chi tiêu (Trừ hũ)
2026-04-18,Con cái,Tiền Học,-6000000.0,EDUCATION,Chi tiêu (Trừ hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,5500000.0,ESSENTIAL,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,1500000.0,SAVINGS,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,1000000.0,EDUCATION,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,1000000.0,ENJOY,Thu nhập (Chia hũ)
2026-04-18,Chồng,Phân bổ: Tiền Lương,1000000.0,INVEST,Thu nhập (Chia hũ)
2026-04-18,Vợ,Ăn,-800000.0,ESSENTIAL,Chi tiêu (Trừ hũ)
